Iklan,No_Pesanan
1000,OD000000138218445
1000,OD000000138063215
1000,OD000000138054675
1000,OD000000137996614
1000,OD000000137988273
2900,OD000000137951131
1000,OD000000137831713
2000,OD000000137804308
1000,OD000000137742336
2000,OD000000139581647
100,OD000000139439562
1000,OD000000138994447
1000,OD000000138842911
1000,OD000000138800595
2000,OD000000138720205
1000,OD000000138264248
1000,OD000000138263460
1000,OD000000138247696
1000,OD000000138239609
256,OD000000139649938
256,OD000000139644194
256,OD000000139627733
