Iklan,No_Pesanan
500,OD000000140646230
500,OD000000140645991
500,OD000000140645378
500,OD000000140645196
500,OD000000140644066
65,OD000000140642765
500,OD000000140640341
500,OD000000140639995
65,OD000000140637543
65,OD000000140637418
300,OD000000140616931
300,OD000000140614377
65,OD000000140613687
500,OD000000140612681
300,OD000000140612638
300,OD000000140612136
500,OD000000140611476
500,OD000000140610105
500,OD000000140609782
500,OD000000140607728
500,OD000000140606756
65,OD000000140594740
500,OD000000140569523
500,OD000000140569181
1500,OD000000140568820
500,OD000000140568311
500,OD000000140567212
65,OD000000140564678
500,OD000000140563733
500,OD000000140542800
65,OD000000140536961
65,OD000000140519448
500,OD000000140517544
65,OD000000140478356
65,OD000000140477021
65,OD000000140467334
65,OD000000140444910
65,OD000000140444122
250,OD000000140440687
65,OD000000140425137
65,OD000000140356591
65,OD000000140349895
65,OD000000140348519
65,OD000000140346044
65,OD000000140344332
250,OD000000140344202
500,OD000000140344058
500,OD000000140340702
65,OD000000140328172
65,OD000000140326106
65,OD000000140325846
65,OD000000140324002
500,OD000000140323889
500,OD000000140315787
250,OD000000140284613
64,OD000000140259794
64,OD000000140233785
200,OD000000140200474
90,OD000000140196449
64,OD000000140185504
860,OD000000140157457
100,OD000000140066427
400,OD000000140050706
400,OD000000139996237
400,OD000000139934699
400,OD000000139926064
100,OD000000139849353
256,OD000000139801086
100,OD000000139800854
256,OD000000139730860
100,OD000000140671189
100,OD000000140670112
1500,OD000000140650850
500,OD000000140650731
500,OD000000140650647
500,OD000000140650645
500,OD000000140650615
500,OD000000140650565
500,OD000000140650549
500,OD000000140650510
500,OD000000140650442
500,OD000000140647464
